aluno,antes,depois
1,58.681968672974925,57.84442624237684
2,62.14267542907048,65.08964767817204
3,68.8673642684491,71.98782468833114
4,56.89037869035812,64.8168629153287
5,55.149038382640875,57.76431645307863
6,56.98945773849278,60.59255242316001
7,65.49241270621245,68.42298916680195
8,61.97250665795811,62.63515058271904
9,56.821438777397766,62.10708440642781
10,63.079604598680135,67.58347066405368
11,60.582465296088245,65.16452919017433
12,65.81186994319734,66.99309503360786
13,55.78768143673589,61.593270058608084
14,58.03402712041339,58.23032499482883
15,57.647351081207056,61.821065268807594
16,51.21891031120729,58.599821562827245
17,61.77672166238746,62.795649012126084
18,61.566331633079336,63.43373617387379
19,60.030680739854766,63.22998347003005
20,58.59247719974912,60.585525891516724
21,51.50777554769751,51.406448685565245
22,57.47612806340785,60.613254013019905
23,57.94371290083939,58.819105473387175
24,55.186336384670284,59.13352124594065
25,59.03228573000395,60.193437261536346
26,62.42430514088723,68.5241739509223
27,71.31711540726317,72.7506088225907
28,61.04746687699103,63.40334384457968
29,61.545302344336584,66.17233677907592
30,59.553324505403,60.09159587253509
